epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3080.98,1.90399,1.69536,2.44015,0.74355,0.70331,0.80717,0.45844,1.60008,1.42835,2.25584,0.0017294,0.0017294,0.0017294
43,3152.73,1.86735,1.63123,2.40596,0.78945,0.76102,0.84914,0.49991,1.50583,1.47138,2.09547,0.0017228,0.0017228,0.0017228
44,3224.45,1.84552,1.60149,2.36859,0.88977,0.75926,0.85933,0.4873,1.56429,1.47453,2.17318,0.0017162,0.0017162,0.0017162
45,3296.76,1.89526,1.62832,2.41236,0.866,0.76733,0.87538,0.49252,1.53543,1.37823,2.16995,0.0017096,0.0017096,0.0017096
46,3368.79,1.76019,1.54809,2.3534,0.81847,0.80354,0.8793,0.51143,1.55565,1.34646,2.19881,0.001703,0.001703,0.001703
47,3440.61,1.90422,1.65287,2.40478,0.85088,0.84158,0.9036,0.55107,1.45154,1.25386,2.0706,0.0016964,0.0016964,0.0016964
48,3513.17,1.81118,1.498,2.32367,0.81824,0.76238,0.85093,0.49801,1.47322,1.3483,2.08385,0.0016898,0.0016898,0.0016898
49,3584.81,1.80135,1.49925,2.32726,0.78459,0.73927,0.84823,0.50283,1.45743,1.30202,2.08069,0.0016832,0.0016832,0.0016832
50,3657.07,1.7815,1.54185,2.28129,0.85214,0.81188,0.89731,0.52696,1.46913,1.2308,2.08621,0.0016766,0.0016766,0.0016766
51,3728.86,1.80656,1.56312,2.27654,0.82309,0.80693,0.87621,0.5367,1.38761,1.65412,2.02461,0.00167,0.00167,0.00167
52,3800.9,1.74111,1.4756,2.29624,0.90958,0.73762,0.88324,0.52498,1.42127,1.78797,2.08057,0.0016634,0.0016634,0.0016634
53,3872.78,1.76739,1.51184,2.33064,0.84023,0.80707,0.88624,0.54259,1.37922,1.18312,2.0243,0.0016568,0.0016568,0.0016568
54,3944.61,1.71985,1.49534,2.22096,0.86757,0.81079,0.91192,0.568,1.37518,1.09852,1.98903,0.0016502,0.0016502,0.0016502
55,4016.83,1.73564,1.49509,2.24199,0.76363,0.75743,0.78371,0.45512,1.42843,1.50423,2.0246,0.0016436,0.0016436,0.0016436
56,4089.04,1.73192,1.43629,2.22848,0.86735,0.77684,0.90121,0.55023,1.37625,1.16227,1.97606,0.001637,0.001637,0.001637
